Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,14.490000,14.960000,14.300000,14.930000,14.930000,32629400
2020-07-27,14.930000,15.390000,14.880000,15.280000,15.280000,42001500
2020-07-28,15.190000,15.410000,15.030000,15.090000,15.090000,44883300
2020-07-29,15.160000,15.410000,15.040000,15.150000,15.150000,39734800
2020-07-30,15.800000,15.920000,14.530000,14.550000,14.550000,108380100
2020-07-31,14.810000,14.830000,13.760000,13.900000,13.900000,67776600
2020-08-03,13.940000,13.990000,13.600000,13.710000,13.710000,35573500
2020-08-04,13.680000,13.710000,13.170000,13.400000,13.400000,40601100
2020-08-05,13.600000,13.650000,13.050000,13.180000,13.180000,47510100
2020-08-06,13.230000,13.390000,13.010000,13.260000,13.260000,35028900
2020-08-07,13.190000,13.530000,13.080000,13.310000,13.310000,44280200
2020-08-10,13.380000,13.510000,13.050000,13.240000,13.240000,28095600
2020-08-11,13.380000,13.650000,13.300000,13.410000,13.410000,40751000
2020-08-12,13.530000,13.580000,13.110000,13.480000,13.480000,44719600
2020-08-13,13.550000,13.560000,13.200000,13.210000,13.210000,22611700
2020-08-14,13.240000,13.410000,13.150000,13.260000,13.260000,22032000
2020-08-17,13.210000,13.380000,12.750000,12.850000,12.850000,33507900
2020-08-18,13.020000,13.260000,12.900000,13.080000,13.080000,30227500
2020-08-19,13.080000,13.200000,12.800000,12.850000,12.850000,15809100
2020-08-20,12.670000,13.040000,12.580000,12.880000,12.880000,21512900
2020-08-21,12.860000,12.970000,12.700000,12.970000,12.970000,19407800
2020-08-24,13.060000,13.110000,12.820000,12.860000,12.860000,18335400
2020-08-25,12.890000,12.940000,12.700000,12.750000,12.750000,14960200
